"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2026","10,602.25","10,551.20","10,611.97","10,519.99","118.37K","0.49%"
"02/05/2026","10,550.97","10,485.28","10,550.97","10,485.28","121.42K","0.41%"
"02/04/2026","10,507.84","10,412.12","10,512.89","10,412.12","111.73K","0.94%"
"02/03/2026","10,409.90","10,340.48","10,429.67","10,287.70","210.36K","0.67%"
"02/02/2026","10,340.54","10,310.72","10,340.54","10,224.77","120.18K","-0.33%"
"01/30/2026","10,375.19","10,560.92","10,560.92","10,323.07","182.16K","-1.79%"
"01/29/2026","10,564.38","10,633.14","10,668.67","10,529.48","155.61K","-0.70%"
"01/28/2026","10,638.55","10,592.73","10,716.26","10,570.44","286.49K","0.43%"
"01/27/2026","10,592.73","10,297.91","10,593.68","10,297.91","181.40K","2.77%"
"01/26/2026","10,306.88","10,304.21","10,306.88","10,245.93","76.54K","0.16%"
"01/23/2026","10,289.93","10,150.30","10,315.75","10,132.71","123.17K","1.38%"
"01/22/2026","10,150.30","10,155.66","10,186.16","10,104.01","108.23K","-0.05%"
"01/21/2026","10,155.72","10,134.02","10,203.63","10,083.80","229.28K","0.21%"
"01/20/2026","10,134.02","10,096.70","10,209.90","10,093.21","143.01K","0.37%"
"01/19/2026","10,096.70","9,999.54","10,114.34","9,999.54","117.86K","1.13%"
"01/16/2026","9,984.03","9,882.75","9,984.03","9,874.37","216.02K","1.00%"
"01/15/2026","9,884.96","9,708.66","9,898.11","9,708.66","191.69K","1.82%"
"01/14/2026","9,708.66","9,579.72","9,708.66","9,511.24","159.76K","1.35%"
"01/13/2026","9,579.72","9,445.19","9,579.72","9,445.19","73.68K","1.42%"
"01/12/2026","9,445.19","9,391.59","9,491.75","9,391.59","88.59K","0.67%"
"01/09/2026","9,382.72","9,329.34","9,400.63","9,302.30","99.82K","0.32%"
"01/08/2026","9,352.37","9,368.72","9,405.23","9,337.37","77.22K","-0.18%"
"01/07/2026","9,368.94","9,400.84","9,400.84","9,313.60","115.06K","-0.29%"
"01/06/2026","9,396.41","9,453.34","9,453.34","9,368.37","265.89K","-0.60%"
"01/05/2026","9,453.34","9,539.28","9,539.28","9,323.92","90.14K","-0.92%"
"01/02/2026","9,540.90","9,618.95","9,633.98","9,478.83","143.05K","-1.33%"